id_servizio,id_categoria,descrizione,disabilita
1,6,imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet,false
2,6,diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac,false
3,3,euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc,true
4,2,malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit,true
5,1,est risus auctor sed tristique in tempus sit amet sem fusce,true
6,6,at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra,true
7,1,scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean,false
8,2,turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam,false
9,2,rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor,true
10,5,sed accumsan felis ut at dolor quis odio consequat varius integer,false
11,5,blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo,false
12,1,hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut,true
13,3,vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia,false
14,4,sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at,true
15,8,curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum,true
16,4,a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie,false
17,5,faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse,false
18,4,scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas,false
19,7,eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam,false
20,6,bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl,false
21,7,imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce,true
22,8,morbi odio odio elementum eu interdum eu tincidunt in leo maecenas,true
23,3,volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien,true
24,3,ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam,true
25,8,duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor,true
26,8,elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est,false
27,10,quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum,true
28,1,nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede,true
29,3,lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus,true
30,7,donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo,false
31,6,velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum,true
32,3,et ultrices posuere cubilia curae mauris viverra diam vitae quam,true
33,8,ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel,false
34,2,ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh,false
35,2,lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non,true
36,5,viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien,true
37,3,habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget,false
38,10,sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate,true
39,3,id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci,true
40,6,sapien a libero nam dui proin leo odio porttitor id,true
41,6,accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean,true
42,10,nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu,false
43,3,vitae mattis nibh ligula nec sem duis aliquam convallis nunc,true
44,2,nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede,true
45,8,sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque,false
46,2,donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum,false
47,7,ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla,false
48,1,pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam,false
49,2,mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede,false
50,1,felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio,false
51,4,id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate,true
52,3,eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec,false
53,5,tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus,false
54,9,posuere metus vitae ipsum aliquam non mauris morbi non lectus,true
55,8,cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat,false
56,10,luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat,false
57,9,luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat,true
58,6,dolor vel est donec odio justo sollicitudin ut suscipit a,false
59,3,convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien,true
60,3,congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium,true
61,5,in consequat ut nulla sed accumsan felis ut at dolor,true
62,1,quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum,false
63,9,cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec,false
64,2,suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu,true
65,6,luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci,true
66,8,at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum,true
67,9,ut dolor morbi vel lectus in quam fringilla rhoncus mauris,false
68,7,pretium quis lectus suspendisse potenti in eleifend quam a odio,false
69,8,curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet,false
70,8,elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo,false
71,5,hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis,false
72,4,velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum,true
73,8,curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut,false
74,6,pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at,false
75,7,ornare consequat lectus in est risus auctor sed tristique in tempus sit,false
76,3,velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros,false
77,9,ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at,true
78,2,vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque,false
79,6,non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis,false
80,6,sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet,true
81,4,platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris,true
82,8,molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc,true
83,1,hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris,true
84,10,praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id,false
85,7,eleifend luctus ultricies eu nibh quisque id justo sit amet,false
86,4,cursus vestibulum proin eu mi nulla ac enim in tempor,false
87,8,pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet,true
88,10,iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna,false
89,7,vel accumsan tellus nisi eu orci mauris lacinia sapien quis,true
90,5,leo odio condimentum id luctus nec molestie sed justo pellentesque,false
91,6,ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices,true
92,5,justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros,false
93,3,vel pede morbi porttitor lorem id ligula suspendisse ornare consequat,true
94,2,lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis,false
95,5,vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in,false
96,10,massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et,true
97,2,donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis,true
98,9,pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla,false
99,1,lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer,true
100,3,felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices,true
101,2,suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut,false
102,3,turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam,true
103,10,diam vitae quam suspendisse potenti nullam porttitor lacus at turpis,true
104,8,integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat,true
105,10,vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis,true
106,8,consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante,false
107,2,est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi,true
108,4,et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat,true
109,3,consequat in consequat ut nulla sed accumsan felis ut at dolor,true
110,7,diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue,true
111,1,egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero,false
112,3,ligula in lacus curabitur at ipsum ac tellus semper interdum,true
113,10,justo eu massa donec dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum,true
114,5,ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit,true
115,9,consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla,true
116,4,tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus,true
117,2,volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo,false
118,7,dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non,true
119,8,sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam tristique tortor eu,false
120,3,mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla,false
121,4,eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris,true
122,5,eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor,true
123,4,cursus urna ut tellus nulla ut erat id mauris vulputate,false
124,9,nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in,false
125,5,metus aenean fermentum donec ut mauris eget massa tempor convallis,false
126,3,aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse,true
127,9,pede justo eu massa donec dapibus duis at velit eu est congue,true
128,4,luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices,true
129,8,maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta,false
130,2,volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse,true
131,2,suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes,true
132,6,augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida,false
133,1,in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer,true
134,6,a feugiat et eros vestibulum ac est lacinia nisi venenatis,false
135,6,odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat,false
136,4,pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet,true
137,10,ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus,false
138,7,leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum,true
139,5,et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum,false
140,6,at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse,false
141,1,massa donec dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id,false
142,2,felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui,true
143,10,non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc,false
144,4,elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla,true
145,10,sed interdum venenatis turpis enim blandit mi in porttitor pede,false
146,5,ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque,false
147,7,eu massa donec dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum,true
148,7,ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget,true
149,8,tempus semper est quam pharetra magna ac consequat metus sapien ut nunc,false
150,9,fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget,false
151,5,quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet,true
152,1,elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla,false
153,3,bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis,true
154,5,lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus,false
155,3,elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo,true
156,5,erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate,true
157,2,vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer,true
158,3,primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut,true
159,6,ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus,false
